number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_neurons,state
0,0.18490772082821597,2024-02-23 09:44:18.737484,2024-02-23 09:44:24.329061,0 days 00:00:05.591577,128,33,0.0001,100,COMPLETE
1,0.09365392468813794,2024-02-23 09:44:24.353670,2024-02-23 09:44:28.516800,0 days 00:00:04.163130,128,30,0.001,50,COMPLETE
2,0.06388996828614783,2024-02-23 09:44:28.532722,2024-02-23 09:44:37.784248,0 days 00:00:09.251526,64,61,0.1,50,COMPLETE
3,0.0577318854799318,2024-02-23 09:44:37.803156,2024-02-23 09:44:57.773833,0 days 00:00:19.970677,32,42,0.001,150,COMPLETE
4,0.04737245370866883,2024-02-23 09:44:57.788500,2024-02-23 09:45:07.235983,0 days 00:00:09.447483,128,83,0.01,50,COMPLETE
5,0.10271932226342442,2024-02-23 09:45:07.260172,2024-02-23 09:45:22.264651,0 days 00:00:15.004479,32,35,0.1,100,COMPLETE
6,0.05760614009528688,2024-02-23 09:45:22.293516,2024-02-23 09:45:30.409261,0 days 00:00:08.115745,64,29,0.01,100,COMPLETE
7,0.11188269205825585,2024-02-23 09:45:30.421575,2024-02-23 09:45:42.564496,0 days 00:00:12.142921,64,83,0.0001,50,COMPLETE
8,0.07016441824444544,2024-02-23 09:45:42.584837,2024-02-23 09:45:50.068051,0 days 00:00:07.483214,64,43,0.001,50,COMPLETE
9,0.06344104521249697,2024-02-23 09:45:50.084525,2024-02-23 09:46:01.154639,0 days 00:00:11.070114,64,83,0.1,30,COMPLETE
10,0.044233025391512575,2024-02-23 09:46:01.171286,2024-02-23 09:46:09.487839,0 days 00:00:08.316553,128,100,0.01,30,COMPLETE
11,0.050796083062173536,2024-02-23 09:46:09.511852,2024-02-23 09:46:19.074617,0 days 00:00:09.562765,128,100,0.01,30,COMPLETE
12,0.04491222981888416,2024-02-23 09:46:19.091185,2024-02-23 09:46:27.610502,0 days 00:00:08.519317,128,99,0.01,30,COMPLETE
13,0.04260262326463291,2024-02-23 09:46:27.627132,2024-02-23 09:46:35.881988,0 days 00:00:08.254856,128,99,0.01,30,COMPLETE
14,0.06308226686997113,2024-02-23 09:46:35.900050,2024-02-23 09:46:41.717617,0 days 00:00:05.817567,128,66,0.01,30,COMPLETE
15,0.04623169224130748,2024-02-23 09:46:41.736710,2024-02-23 09:46:50.861754,0 days 00:00:09.125044,128,92,0.01,30,COMPLETE
16,0.05356455819224939,2024-02-23 09:46:50.875000,2024-02-23 09:47:05.398318,0 days 00:00:14.523318,128,70,0.01,150,COMPLETE
17,0.039363626589029796,2024-02-23 09:47:05.454167,2024-02-23 09:47:23.037126,0 days 00:00:17.582959,32,75,0.01,30,COMPLETE
18,0.09761714282528793,2024-02-23 09:47:23.054889,2024-02-23 09:47:40.152194,0 days 00:00:17.097305,32,75,0.0001,30,COMPLETE
19,0.03257184978204693,2024-02-23 09:47:40.177596,2024-02-23 09:47:53.429528,0 days 00:00:13.251932,32,55,0.01,30,COMPLETE
20,0.028279418261415917,2024-02-23 09:47:53.446123,2024-02-23 09:48:15.141428,0 days 00:00:21.695305,32,46,0.01,150,COMPLETE
21,0.03541815389832225,2024-02-23 09:48:15.153509,2024-02-23 09:48:39.302190,0 days 00:00:24.148681,32,52,0.01,150,COMPLETE
22,0.025542499028423545,2024-02-23 09:48:39.315799,2024-02-23 09:49:02.957771,0 days 00:00:23.641972,32,51,0.01,150,COMPLETE
23,0.02876158314624418,2024-02-23 09:49:02.975644,2024-02-23 09:49:27.284833,0 days 00:00:24.309189,32,52,0.01,150,COMPLETE
24,0.03164314043743078,2024-02-23 09:49:27.299644,2024-02-23 09:49:50.810361,0 days 00:00:23.510717,32,49,0.01,150,COMPLETE
25,0.033356528687338405,2024-02-23 09:49:50.822522,2024-02-23 09:50:11.475692,0 days 00:00:20.653170,32,44,0.01,150,COMPLETE
26,0.06558350697285292,2024-02-23 09:50:11.487294,2024-02-23 09:50:23.119817,0 days 00:00:11.632523,32,22,0.001,150,COMPLETE
27,0.09582860095567909,2024-02-23 09:50:23.133007,2024-02-23 09:50:52.480367,0 days 00:00:29.347360,32,59,0.1,150,COMPLETE
28,0.08075651917618458,2024-02-23 09:50:52.509106,2024-02-23 09:51:21.008373,0 days 00:00:28.499267,32,60,0.0001,150,COMPLETE
29,0.09347094459639485,2024-02-23 09:51:21.039367,2024-02-23 09:51:39.498743,0 days 00:00:18.459376,32,37,0.0001,150,COMPLETE
30,0.030294706862796884,2024-02-23 09:51:39.520339,2024-02-23 09:52:02.113539,0 days 00:00:22.593200,32,47,0.01,150,COMPLETE
31,0.03235316914411748,2024-02-23 09:52:02.136651,2024-02-23 09:52:24.517785,0 days 00:00:22.381134,32,47,0.01,150,COMPLETE
32,0.03909939656304426,2024-02-23 09:52:24.547144,2024-02-23 09:52:49.771193,0 days 00:00:25.224049,32,54,0.01,150,COMPLETE
33,0.037807027097748455,2024-02-23 09:52:49.786262,2024-02-23 09:53:08.575039,0 days 00:00:18.788777,32,38,0.01,150,COMPLETE
34,0.06424689912778203,2024-02-23 09:53:08.628026,2024-02-23 09:53:23.471191,0 days 00:00:14.843165,32,29,0.001,150,COMPLETE
35,0.03484797451586961,2024-02-23 09:53:23.487335,2024-02-23 09:53:41.343725,0 days 00:00:17.856390,32,47,0.01,100,COMPLETE
36,0.07955154922548738,2024-02-23 09:53:41.363114,2024-02-23 09:54:10.974658,0 days 00:00:29.611544,32,65,0.1,150,COMPLETE
37,0.030376737776534567,2024-02-23 09:54:10.989256,2024-02-23 09:54:37.264610,0 days 00:00:26.275354,32,57,0.01,150,COMPLETE
38,0.039032176083190845,2024-02-23 09:54:37.278867,2024-02-23 09:54:53.072086,0 days 00:00:15.793219,32,41,0.01,100,COMPLETE
39,0.07798103295554074,2024-02-23 09:54:53.086330,2024-02-23 09:54:59.332075,0 days 00:00:06.245745,64,32,0.001,50,COMPLETE
40,0.1406235208867151,2024-02-23 09:54:59.356735,2024-02-23 09:55:15.029863,0 days 00:00:15.673128,32,24,0.1,150,COMPLETE
41,0.025899516694010298,2024-02-23 09:55:15.045883,2024-02-23 09:55:43.186386,0 days 00:00:28.140503,32,57,0.01,150,COMPLETE
42,0.030371297141896635,2024-02-23 09:55:43.200079,2024-02-23 09:56:08.251447,0 days 00:00:25.051368,32,51,0.01,150,COMPLETE
43,0.03499031445474969,2024-02-23 09:56:08.268790,2024-02-23 09:56:39.104021,0 days 00:00:30.835231,32,65,0.01,150,COMPLETE
44,0.04597775688795701,2024-02-23 09:56:39.126695,2024-02-23 09:56:53.156492,0 days 00:00:14.029797,64,45,0.01,150,COMPLETE
45,0.034095120960562234,2024-02-23 09:56:53.178418,2024-02-23 09:57:04.808616,0 days 00:00:11.630198,32,41,0.01,50,COMPLETE
46,0.031077114113101247,2024-02-23 09:57:04.822959,2024-02-23 09:57:24.984382,0 days 00:00:20.161423,32,53,0.01,100,COMPLETE
47,0.08987072461264822,2024-02-23 09:57:25.007012,2024-02-23 09:57:48.497048,0 days 00:00:23.490036,32,49,0.0001,150,COMPLETE
48,0.03717471189498371,2024-02-23 09:57:48.512980,2024-02-23 09:58:06.602245,0 days 00:00:18.089265,64,63,0.01,150,COMPLETE
49,0.03016216787877784,2024-02-23 09:58:06.616339,2024-02-23 09:58:33.083114,0 days 00:00:26.466775,32,57,0.01,150,COMPLETE
