Neurons,Learning Rate,Batch Size,Test RMSE,Test MAPE,Test RÂ²
30,0.0001,32,0.19070129405755806,0.2620168828204859,-0.6272735475356783
30,0.0001,64,0.26171246421968625,0.37197307405352814,-2.064799710322113
30,0.0001,128,0.3845905350444869,0.5660661668376359,-5.6183612452017115
30,0.001,32,0.03294812923613636,0.043113946206340965,0.9514247766510532
30,0.001,64,0.047684852095035854,0.05597764645708041,0.898254745042236
30,0.001,128,0.049065981347757893,0.061195028732987974,0.8922755554674608
30,0.01,32,0.015801787466538347,0.019328585483231665,0.9888271050081833
30,0.01,64,0.022126932894547233,0.026323349644476086,0.9780923536263598
30,0.01,128,0.019249392875908145,0.024190696002871784,0.9834198919110434
30,0.1,32,0.057856357976058995,0.06193960766866129,0.8502194338779203
30,0.1,64,0.0892036068879559,0.0942237344311566,0.6439441588399574
30,0.1,128,0.06664576599089199,0.08504933211747152,0.8012539928630508
50,0.0001,32,0.0669750516104703,0.08062882785462128,0.7992851993299668
50,0.0001,64,0.2601351812796159,0.37171934727142236,-2.0279692947746515
50,0.0001,128,0.3270015097913802,0.477620727145264,-3.784678929436244
50,0.001,32,0.026593779650980594,0.034641586177686874,0.968354394007702
50,0.001,64,0.04548789830946444,0.05939675865760858,0.9074140627102802
50,0.001,128,0.05087908196273008,0.060796152569576115,0.8841671298474534
50,0.01,32,0.016539744711917735,0.020160283476785876,0.9877591693780094
50,0.01,64,0.02194334998372471,0.02752677022615678,0.9784543726346359
50,0.01,128,0.022160015377583785,0.026160311320119412,0.9780267954086792
50,0.1,32,0.04407422450147649,0.06597415502681687,0.9130794144007575
50,0.1,64,0.0682564936629022,0.0934876597491116,0.7915311195121816
50,0.1,128,0.08935183558296192,0.10662284097364516,0.6427598672043269
100,0.0001,32,0.05749833057909923,0.06879254491550163,0.8520674459186075
100,0.0001,64,0.19343020510849232,0.26884540433136384,-0.6741789196622967
100,0.0001,128,0.331068421441309,0.48192179903803267,-3.9044329407903575
100,0.001,32,0.02515254107560986,0.031069959731554544,0.971691489529815
100,0.001,64,0.037007847327775095,0.04741056565001065,0.9387168708996888
100,0.001,128,0.041689816256948405,0.04988846556038637,0.9222297944841744
100,0.01,32,0.02518424338571399,0.03374791716758358,0.971620084358814
100,0.01,64,0.018781064348076117,0.023631519606430805,0.984216849929588
100,0.01,128,0.015780403462186357,0.019918882934819346,0.9888573243202421
100,0.1,32,0.05710622372020671,0.06412035884672791,0.8540782029696652
100,0.1,64,0.06248310987166462,0.07811877348263467,0.8253057710366787
100,0.1,128,0.08628976543818975,0.10350215026140462,0.6668254180502953
150,0.0001,32,0.051281759527711364,0.06176107252186085,0.8823263782763422
150,0.0001,64,0.1893329129586436,0.2628401140813961,-0.6040042624354478
150,0.0001,128,0.30966024487202026,0.4490751963057435,-3.2906608768661343
150,0.001,32,0.019985097011329903,0.02491352082252698,0.9821283024512185
150,0.001,64,0.028905543716664872,0.037519411683751,0.9626134345270472
150,0.001,128,0.03883173561423364,0.046172545508222085,0.932527486516271
150,0.01,32,0.01490366732457635,0.018052627236296588,0.9900610711832813
150,0.01,64,0.015036801584964279,0.018439337269704023,0.9898827094384353
150,0.01,128,0.01532369716283843,0.018328765459505854,0.9894929595132984
150,0.1,32,0.053465671980214825,0.06914620385618335,0.8720903402239345
150,0.1,64,0.07440878447493539,0.09110988175502956,0.752256821799971
150,0.1,128,0.12365625745310087,0.15173875750621552,0.3157962016863015
